Event	ID	Name			Wwise Object Path	Notes
	93749488	Play_AMB_Interior_LP			\Default Work Unit\Play_AMB_Interior_LP	
	96395413	Play_MUS_BGM_Interactive			\Default Work Unit\Play_MUS_BGM_Interactive	
	149137005	Play_AMB_Forest_LP			\Default Work Unit\Play_AMB_Forest_LP	
	584628495	Play_AMB_City_LP			\Default Work Unit\Play_AMB_City_LP	
	791217870	Play_AMB_DogBarks			\Default Work Unit\Play_AMB_DogBarks	
	958544762	Play_FLY_Footstep			\Default Work Unit\Play_FLY_Footstep	
	1947854728	Play_IMP_Wall_2D			\Default Work Unit\Play_IMP_Wall_2D	
	1964632347	Play_IMP_Wall_3D			\Default Work Unit\Play_IMP_Wall_3D	
	2159561926	Stop_AMB_Interior_LP			\Default Work Unit\Stop_AMB_Interior_LP	
	2823495579	Play_UI_Win			\Default Work Unit\Play_UI_Win	
	2948244008	Play_AMB_CityForestBlend			\Default Work Unit\Play_AMB_CityForestBlend	
	3340362146	Trigger_MUS_Pickup			\Default Work Unit\Trigger_MUS_Pickup	
	3369882767	Play_IMP_Pickup			\Default Work Unit\Play_IMP_Pickup	
	4165304245	Play_MUS_Main			\Default Work Unit\Play_MUS_Main	
	4193143717	Play_MVT_BallRolling_LP			\Default Work Unit\Play_MVT_BallRolling_LP	

Switch Group	ID	Name			Wwise Object Path	Notes
	3045844422	SWI_FootstepMaterial			\Default Work Unit\SWI_FootstepMaterial	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	SWI_FootstepMaterial			
	4248645337	Grass	SWI_FootstepMaterial			

State Group	ID	Name			Wwise Object Path	Notes
	530992273	STA_GameState			\Default Work Unit\STA_GameState	

State	ID	Name	State Group			Notes
	748895195	None	STA_GameState			
	1829294538	STA_GameState_Idle	STA_GameState			
	2087516798	STA_GameState_Win	STA_GameState			
	3716483651	STA_GameState_PickedUp	STA_GameState			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1573010119	RTPC_CollisionVelocityNormalized			\Default Work Unit\RTPC_CollisionVelocityNormalized	
	2653406601	RTPC_PlayerSpeed			\Default Work Unit\RTPC_PlayerSpeed	
	3045223865	RTPC_PlayerDistance			\Default Work Unit\RTPC_PlayerDistance	
	3709966389	RTPC_BallSpeed			\Default Work Unit\RTPC_BallSpeed	

Trigger	ID	Name			Wwise Object Path	Notes
	965785689	MUS_Pickup			\Default Work Unit\MUS_Pickup	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	695384145	RVB			\Default Work Unit\Master Audio Bus\RVB	
	712897226	MUS			\Default Work Unit\Master Audio Bus\MUS	
	1117531639	AMB			\Default Work Unit\Master Audio Bus\AMB	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	1985046648	RVB_LargeHall			\Default Work Unit\Master Audio Bus\RVB\RVB_LargeHall	

Effect plug-ins	ID	Name	Type				Notes
	2513915904	Hall_Large	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1293407	FLY_Footstep_Grass_04	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\FLY_Footstep_Grass_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\FLY\FLY_Footstep\FLY_Footstep_Grass\FLY_Footstep_Grass_04		47300
	6629817	MUS_BGM_132bpm_PickedUp_Piano_01	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\MUS_BGM_132bpm_PickedUp_Piano_01_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_BGM_Interactive\MUS_BGM_PickedUp\MUS_BGM_PickedUp_01\MUS_BGM_132bpm_PickedUp_Piano_01		2094644
	14961769	AMB_DogBark_03	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\AMB_DogBark_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_DogBarks\AMB_DogBark_03		1536096
	17273617	MUS_BGM_132bpm_Idle_Synth_01	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\MUS_BGM_132bpm_Idle_Synth_01_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_BGM_Interactive\MUS_BGM_Idle\MUS_BGM_Idle_01\MUS_BGM_132bpm_Idle_Synth_01		2094644
	25460242	MUS_BGM_132bpm_PickedUp_Piano_02	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\MUS_BGM_132bpm_PickedUp_Piano_02_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_BGM_Interactive\MUS_BGM_PickedUp\MUS_BGM_PickedUp_02\MUS_BGM_132bpm_PickedUp_Piano_02		2094644
	45852958	IMP_Pickup	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\IMP_Pickup_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\IMP_Pickup		288096
	47516979	MUS_BGM_132bpm_Idle_DrumsHi_01	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\MUS_BGM_132bpm_Idle_DrumsHi_01_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_BGM_Interactive\MUS_BGM_Idle\MUS_BGM_Idle_01\MUS_BGM_132bpm_Idle_DrumsHi_01		2094644
	103947080	AMB_Forest_LP	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\AMB_Forest_LP_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_CityForestBlend\AMB_Forest_LP		4032096
	105298233	MUS_BGM_132bpm_PickedUp_DrumsHi_03	C:\Users\david\Documents\projects\CTIN406L\projects\CTIN406L_RollABallWithAudio\CTIN406L_RollABallWithAudio_WwiseProject\.cache\Windows\SFX\MUS_BGM_132bpm_PickedUp_DrumsHi_03_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_BGM_Interactive\MUS_BGM_PickedUp\MUS_BGM_PickedUp_03\MUS_BGM_132bpm_PickedUp_DrumsHi_03		2094644
